Country,Region,Year,v2x_polyarchy,v2x_libdem,v2x_regime,Digital Repression Index 2021,Gov SM surveillance v2smgovsmmon,Gov disinfo v2smgovdom,Pol party disinfo v2smpardom,Gov filtering v2smgovfilprc,Gov internet shutdowns v2smgovshut,Gov SM Shutdown v2smgovsm,Gov SM censorship v2smgovsmcenprc,Arrests online users (v2smarrest),Country,Region,V-Dem Electoral Democracy Index 2021,V-Dem Regime Type 2021,Feldstein Digital Repression Index 2021,Freedom on the Net 2021 Status,Freedom on the Net 2021 Score,Military Expenditures (USD) 2018,Military Expenditures Ranking (2018),Member of Belt & Road Initiative,China ODI Rank (EIU),Safe City System,Facial Recognition System,Smart Policing,Social Media Surveillance,China Tech,US Tech,Other Countries,Company 1,Company 2,Company 3,Company 4,Company 5
Eritrea,AFR,2021,0.069,0.01,CA,1.6569859981536865,1.257,2.979,2.821,1.659,1.639,1.502,1.697,2.839,Austria,EUR,0.825,ED,-1.1159368753433228,NO DATA,,,,0,,0,1,1,0,0,0,"Germany, France",Cognitec Systems,Atos IT Solutions and Services,0,0,0
Estonia,EUR,2021,0.891,0.837,LD,-1.2662144899368286,-1.475,-1.929,-0.966,-2.137,-1.681,-1.742,-1.855,-2.396,Bolivia,WHA,0.619,ED,-0.10271111875772476,NO DATA,,618.8420831481142,79.0,1,,1,1,1,0,1,0,0,Huawei,ZTE,CEIEC,0,0
Eswatini,AFR,2021,0.129,0.11,CA,1.2582226991653442,1.905,0.72,1.115,1.244,1.847,1.849,1.462,1.442,Bosnia and Herzegovina,EUR,0.526,ED,-0.6335821151733398,NO DATA,,,,1,,1,0,0,0,1,0,0,Huawei,0,0,0,0
Ethiopia,AFR,2021,0.314,0.151,EA,1.6328377723693848,0.903,1.571,1.695,2.653,2.434,2.851,1.695,0.954,Brazil,WHA,0.661,ED,-0.08610236644744873,PARTLY FREE,64.0,27766.427104013972,12.0,0,52.0,1,1,1,1,1,1,Israel,IBM,Dahua,Verint,0,0
Fiji,EAP,2021,0.403,0.269,EA,-0.24487650394439697,0.417,-0.682,-1.036,-0.538,-0.911,-0.777,0.11,-0.527,Colombia,WHA,0.645,ED,0.7678020596504211,PARTLY FREE,65.0,10602.860966737766,24.0,0,55.0,1,1,1,0,0,0,Japan,NEC,0,0,0,0
Finland,EUR,2021,0.868,0.829,LD,-1.4064891338348389,-2.067,-2.75,-0.655,-2.249,-1.702,-1.694,-1.839,-2.504,Croatia,EUR,0.751,ED,-0.8977238535881042,NO DATA,,,,1,,0,1,1,0,0,0,0,0,0,0,0,0
France,EUR,2021,0.874,0.795,LD,-0.657324492931366,-1.16,-1.113,-1.36,-1.163,-1.134,-1.031,-0.382,-1.163,Czech Republic,EUR,0.805,ED,-1.0522923469543457,NO DATA,,2710.0175833052126,53.0,1,16.0,0,1,1,0,0,0,0,0,0,0,0,0
Gabon,AFR,2021,0.377,0.207,EA,0.7410334944725037,0.072,1.133,0.423,-0.297,1.808,1.007,-0.119,2.002,Dominican Republic,WHA,0.683,ED,-1.2249845266342163,NO DATA,,,,0,,0,1,0,0,1,0,0,0,0,0,0,0
Georgia,EUR,2021,0.648,0.493,ED,-0.5444827675819397,0.057,0.781,0.021,-1.089,-1.914,-1.853,-1.036,-1.225,Ecuador,WHA,0.644,ED,0.18134592473506927,PARTLY FREE,62.0,2549.4,55.0,1,57.0,1,1,1,0,1,0,0,Huawei,CEIEC,0,0,0
Germany,EUR,2021,0.87,0.822,LD,-0.9589992165565491,-0.71,-2.195,-1.197,-1.219,-1.808,-1.331,-0.631,-2.078,Georgia,EUR,0.648,ED,-0.5444827675819397,FREE,77.0,316.50836808463004,100.0,1,,1,1,1,0,0,0,Japan,NEC,0,0,0,0
